Date,Price (Close),Volume,Bitcoin Price (Close),Ethereum (Google Interest),NFT (Google Interest),Obs
12-Jun-20,237.49,8868955009,9480.84,4,0,72
13-Jun-20,238.91,7141624980,9475.28,4,0,73
14-Jun-20,234.11,7439385176,9386.79,3,0,74
15-Jun-20,229.93,10536099884,9450.7,3,0,75
16-Jun-20,234.42,7965648016,9538.02,3,0,76
17-Jun-20,233.03,7701391592,9480.25,3,0,77
18-Jun-20,232.1,6713800872,9411.84,3,0,78
19-Jun-20,227.14,6946372590,9288.02,3,0,79
20-Jun-20,229.27,6252830566,9332.34,3,0,80
21-Jun-20,228.99,5600408178,9303.63,4,0,81
22-Jun-20,242.53,9079586552,9648.72,4,0,82
23-Jun-20,244.14,6624530348,9629.66,4,0,83
24-Jun-20,235.77,8815030025,9313.61,4,0,84
25-Jun-20,232.94,7010426122,9264.81,4,0,85
26-Jun-20,229.67,7187490226,9162.92,4,0,86
27-Jun-20,222.96,6918380955,9045.39,4,0,87
28-Jun-20,225.35,6205925718,9143.58,3,0,88
29-Jun-20,228.19,6726164653,9190.85,3,0,89
30-Jun-20,226.32,6094093001,9137.99,3,0,90
1-Jul-20,231.11,6463737443,9228.33,3,0,91
2-Jul-20,229.39,6212210566,9123.41,3,0,92
3-Jul-20,225.39,5109032700,9087.3,3,0,93
4-Jul-20,229.07,5228310135,9132.49,3,0,94
5-Jul-20,227.66,5292172429,9073.94,4,0,95
6-Jul-20,241.51,8782917553,9375.47,4,0,96
7-Jul-20,239.08,6441497597,9252.28,4,0,97
8-Jul-20,246.67,9892586411,9428.33,4,0,98
9-Jul-20,243.02,8429099199,9277.97,4,0,99
10-Jul-20,240.98,7281370522,9278.81,4,0,100
11-Jul-20,239.46,5643067316,9240.35,4,0,101
12-Jul-20,242.13,6596394718,9276.5,3,0,102
13-Jul-20,239.6,7787751468,9243.61,3,0,103
14-Jul-20,240.21,7357458555,9243.21,3,0,104
15-Jul-20,238.42,6189328448,9192.84,3,0,105
16-Jul-20,233.64,5832057567,9132.23,3,0,106
17-Jul-20,232.77,5859850529,9151.39,3,0,107
18-Jul-20,235.48,5397402117,9159.04,3,0,108
19-Jul-20,238.49,6251377305,9185.82,5,0,109
20-Jul-20,236.15,5600686192,9164.23,5,0,110
21-Jul-20,245.02,6806696015,9374.89,5,0,111
22-Jul-20,262.19,7702077383,9525.36,5,0,112
23-Jul-20,274.69,10281309262,9581.07,5,0,113
24-Jul-20,279.22,9466060358,9536.89,5,0,114
25-Jul-20,304.06,10785021813,9677.11,5,0,115
26-Jul-20,309.64,12003973026,9905.17,9,0,116
27-Jul-20,321.51,15644257058,10990.87,9,0,117
28-Jul-20,316.66,12357108065,10912.82,9,0,118
29-Jul-20,318.19,10878845706,11100.47,9,0,119
30-Jul-20,334.59,11827689045,11111.21,9,0,120
31-Jul-20,345.55,12030600492,11323.47,9,0,121
1-Aug-20,385.2,14045259477,11759.59,9,0,122
2-Aug-20,370.67,18909744275,11053.61,9,0,123
3-Aug-20,386.3,12834648062,11246.35,9,0,124
4-Aug-20,389.88,14086704221,11205.89,9,0,125
5-Aug-20,401.59,12875466638,11747.02,9,0,126
6-Aug-20,394.96,11304626458,11779.77,9,0,127
7-Aug-20,379.51,12751687084,11601.47,9,0,128
8-Aug-20,393.99,9342060531,11754.05,9,0,129
